Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,93700.000000,95100.000000,92100.000000,92400.000000,80807.304688,3196313
2020-04-24,91300.000000,92300.000000,90100.000000,90100.000000,78795.867188,2135488
2020-04-27,90300.000000,92500.000000,90200.000000,91600.000000,80107.687500,1219677
2020-04-28,92500.000000,94400.000000,92200.000000,93200.000000,81506.945313,1448692
2020-04-29,93500.000000,94000.000000,92400.000000,93600.000000,81856.750000,1193284
2020-05-04,91100.000000,92900.000000,90700.000000,91500.000000,80020.226563,1264378
2020-05-06,93300.000000,94200.000000,92600.000000,93200.000000,81506.945313,1039600
2020-05-07,92800.000000,93000.000000,91800.000000,92600.000000,80982.218750,826239
2020-05-08,93000.000000,95400.000000,93000.000000,94500.000000,82643.843750,1749677
2020-05-11,95800.000000,96500.000000,93500.000000,93700.000000,81944.226563,1889278
2020-05-12,93200.000000,93800.000000,91100.000000,91900.000000,80370.039063,1259874
2020-05-13,90500.000000,93100.000000,90500.000000,93100.000000,81419.492188,966892
2020-05-14,92600.000000,92900.000000,91500.000000,92300.000000,80719.859375,982612
2020-05-15,92000.000000,92700.000000,91200.000000,92300.000000,80719.859375,822472
2020-05-18,92100.000000,92200.000000,91000.000000,91900.000000,80370.039063,741214
2020-05-19,95000.000000,99400.000000,94700.000000,99100.000000,86666.703125,4564370
2020-05-20,98000.000000,98300.000000,96300.000000,97300.000000,85092.539063,1828158
2020-05-21,98600.000000,98700.000000,96600.000000,97200.000000,85005.085938,1471917
2020-05-22,97100.000000,97200.000000,94000.000000,94500.000000,82643.843750,1619476
2020-05-25,94900.000000,96200.000000,94000.000000,96000.000000,83955.632813,1185541
2020-05-26,96000.000000,99500.000000,95500.000000,97800.000000,85529.820313,2006216
2020-05-27,98700.000000,99500.000000,97300.000000,98100.000000,85792.179688,1620664
2020-05-28,99500.000000,99600.000000,96200.000000,97200.000000,85005.085938,1602694
2020-05-29,96300.000000,99200.000000,96300.000000,98000.000000,85704.718750,2010414
2020-06-01,98000.000000,101500.000000,98000.000000,100000.000000,87453.804688,1908428
2020-06-02,99500.000000,103000.000000,98700.000000,102500.000000,89640.148438,2155405
2020-06-03,106000.000000,110000.000000,105500.000000,108500.000000,94887.375000,3118795
2020-06-04,112000.000000,113000.000000,105000.000000,108500.000000,94887.375000,2823041
2020-06-05,108000.000000,112000.000000,106500.000000,111000.000000,97073.710938,2128094
2020-06-08,114000.000000,114500.000000,111500.000000,113000.000000,98822.804688,1640392
2020-06-09,114000.000000,115000.000000,110500.000000,112000.000000,97948.265625,1504910
2020-06-10,111000.000000,112000.000000,109000.000000,111500.000000,97510.992188,1377837
2020-06-11,110000.000000,111000.000000,107000.000000,108500.000000,94887.375000,2376313
2020-06-12,101500.000000,105000.000000,101500.000000,103500.000000,90514.687500,1977558
2020-06-15,102000.000000,102500.000000,97000.000000,97000.000000,84830.187500,2022775
2020-06-16,99100.000000,101500.000000,99100.000000,101500.000000,88765.609375,1389765
2020-06-17,100500.000000,101000.000000,98800.000000,100500.000000,87891.062500,1326645
2020-06-18,99100.000000,102000.000000,98400.000000,100000.000000,87453.804688,1155455
2020-06-19,101000.000000,101500.000000,99100.000000,100000.000000,87453.804688,903928
2020-06-22,99100.000000,100000.000000,98500.000000,98500.000000,86141.984375,921187
2020-06-23,99200.000000,101000.000000,98000.000000,98700.000000,86316.898438,1095698
2020-06-24,100000.000000,103500.000000,99800.000000,103000.000000,90077.421875,1813817
2020-06-25,100500.000000,101000.000000,99400.000000,99400.000000,86929.070313,1084453
2020-06-26,100500.000000,101000.000000,99500.000000,100000.000000,87453.804688,670161
2020-06-29,97700.000000,98700.000000,97600.000000,97700.000000,85442.351563,943424
2020-06-30,99100.000000,99300.000000,97700.000000,97700.000000,85442.351563,988987
2020-07-01,98500.000000,99500.000000,98000.000000,98200.000000,85879.632813,640540
2020-07-02,98000.000000,99700.000000,98000.000000,99000.000000,86579.257813,730963
2020-07-03,99900.000000,100500.000000,98600.000000,99200.000000,86754.171875,569575
